plan_id,plan_name,metal,premium,medical_deductable_person,medical_deductable_family,drug_deductable_person,drug_deductable_family,combined_deductable_person,combined_deductable_family,max_out_of_pocket_person,max_out_of_pocket_family,has_out_of_network,is_hsa,primary_care_visit_to_treat_an_injury_or_illness,specialist_visit,preventive_care_screening_immunization,outpatient_rehabilitation_services,prosthetic_devices,chiropractic_care,inpatient_rehabilitation_services,durable_medical_equipment,outpatient_surgery_physician_surgical_services,home_health_care_services,outpatient_facility_fee,preferred_brand_drugs,non_preferred_brand_drugs,specialty_drugs,generic_drugs,prenatal_and_postnatal_care,well_baby_visits_and_care,gym_membership_reimbursement,major_dental_care_child,orthodontia_child,basic_dental_care_child,dental_check_up_for_children,mental_behavioral_health_inpatient_services,mental_behavioral_health_outpatient_services,substance_abuse_disorder_inpatient_services,substance_abuse_disorder_outpatient_services,routine_eye_exam_for_children,contact_lenses_for_children,eye_glasses_for_children,skilled_nursing_facility,delivery_and_all_inpatient_services_for_maternity_care,inpatient_hospital_services,inpatient_physician_and_surgical_services,transplant,autism_spectrum_disorders,chemotherapy,family_planning_services,urgent_care_centers_or_facilities,emergency_transportation_ambulance,emergency_room_services,x_rays_and_diagnostic_imaging,imaging,laboratory_outpatient_and_professional_services,acupuncture,telemedicine
29514,"CareConnect EPO Bronze ST INN Pediatric Dental Dep 25",Bronze,921.00,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
29532,"CareConnect EPO Gold ST INN Pediatric Dental Dep 25",Gold,1359.00,600,1200,,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,$0,"$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
29538,"CareConnect EPO Platinum ST INN Pediatric Dental Dep 25",Platinum,1590.00,0,0,,,,,2000,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,$15,$15,$15,$15,"$500 Copay per Stay",$15,"$500 Copay per Stay",$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
29550,"CareConnect EPO Platinum NS INN Pediatric Dental Dep 25 Acupuncture Low Rx",Platinum,1599.00,0,0,,,,,1000,2000,No,No,$30,$30,$0,$30,$200,$30,$500,$200,$0,$30,$200,$50,50%,,$10,$0,$0,$0,$200,$200,$30,$30,$500,$30,$500,$30,$30,10%,10%,"$500 Copay per Stay",$500,"$500 Copay per Stay",$0,$500,$30,$30,$0,$30,$100,$200,$30,$30,$30,$30,
29562,"CareConnect EPO Gold NS INN Pediatric Dental Dep 25 Acupuncture Low Rx",Gold,1385.00,1000,2000,,,,,3000,6000,No,No,$30,$50,$0,$30,"10% Coinsurance after deductible",$50,"10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible",$30,"10% Coinsurance after deductible",$50,50%,,$10,$0,$0,$0,"10% Coinsurance after deductible","10% Coinsurance after deductible",$30,$30,"10% Coinsurance after deductible",$30,"10% Coinsurance after deductible",$30,$30,"10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible",$30,$30,$0,$50,$100,$200,"10% Coinsurance after deductible","10% Coinsurance after deductible","10% Coinsurance after deductible",$50,
29580,"CareConnect EPO Silver NS INN Pediatric Dental Dep 25 Acupuncture Low Rx",Silver,1206.00,4000,8000,,,,,6600,13200,No,No,$40,$60,$0,$40,"20% Coinsurance after deductible",$60,"20% Coinsurance after deductible","20% Coinsurance after deductible",$100,$40,$350,$50,50%,,$10,$0,$0,$0,"20% Coinsurance after deductible","20% Coinsurance after deductible",$40,$40,"20% Coinsurance after deductible",$40,"20% Coinsurance after deductible",$40,$40,"20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",$100,"20% Coinsurance after deductible",$40,$40,$0,$60,$150,$350,$40,$60,$60,$60,
29592,"CareConnect EPO Bronze NS INN Pediatric Dental Dep 25 Acupuncture",Bronze,935.00,,,,,4450,8900,6450,12900,No,Yes,"30% Coinsurance after deductible","30% Coinsurance after deductible",$0,"30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$35 Copay after deductible","$75 Copay after deductible",,"$15 Copay after deductible",$0,$0,$0,"30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",$0,"30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",
29598,"CareConnect EPO Platinum NS INN Dep 25 Acupuncture",Platinum,1476.00,,,,,1250,2500,1250,2500,No,No,"No Charge after deductible","No Charge after deductible",$0,"No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible",,$0,$0,$0,,,,,,"No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible",
29604,"CareConnect EPO Gold NS INN Dep 25 Acupuncture",Gold,1342.00,,,,,2250,4500,2250,4500,No,No,"No Charge after deductible","No Charge after deductible",$0,"No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible",,$0,$0,$0,,,,,,"No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible","No Charge after deductible",
30669,"Select Care Platinum, Platinum, ST, INN, Dep25",Platinum,1850.36,0,0,0,,,,2000,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,,,,,$500,$15,$500,$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
